Video ID,Video Title,Author,Comment,Timestamp,Timestamp Link,Date Added
S8GQPwfBDBM,Can You Be Okay With A Messy Room? | Dhamma Dasa | The Sangha UK #231 | 07.10.24,@issac7787,11:00 Buddha say dissatisfaction is nature of human being,11:00,https://youtu.be/S8GQPwfBDBM?t=660,2026-05-26
JkntIsahcOk,"The  Sense of ""I"" | Dhamma Dasa | The Sangha US #123 | 07.06.24",@issac7787,11:40 Breath is the reality of the moment,11:40,https://youtu.be/JkntIsahcOk?t=700,2026-05-26
qEWjTSUbdIA,This Is It | Phra Cathal | The Sangha US #121 | 06.22.24,@issac7787,42:00 Thinking mind vs the feeling mind,42:00,https://youtu.be/qEWjTSUbdIA?t=2520,2026-05-26
qEWjTSUbdIA,This Is It | Phra Cathal | The Sangha US #121 | 06.22.24,@issac7787,28:00 Generosity,28:00,https://youtu.be/qEWjTSUbdIA?t=1680,2026-05-26
Rq5Akeu0mTY,Be A Friend To Yourself | The Sangha US #118 | 06.01.24,@whitenozze,54:50,54:50,https://youtu.be/Rq5Akeu0mTY?t=3290,2026-05-26
ESQWcj892JQ,Freedom = Nothing Left to Lose | The Sangha UK #220 | 05.26.24,@issac7787,"20:05 Piti and Sukkha
Sukkha is yea this is paradise
Piti is WOWWWWWWWW THIS IS PARADISE 🤣🤣🤣",20:05,https://youtu.be/ESQWcj892JQ?t=1205,2026-05-26
y3Cj2VpF3EE,Everything is Okay | Tuomas #2 | 06.06.24,@MountainDharma,13:58 great summary of the Dhamma 🙏,13:58,https://youtu.be/y3Cj2VpF3EE?t=838,2026-05-26
LhjojWs9r-w,Can You Make A Mistake Without Dukkha? | Daniel #14 | 05.27.24,@MountainDharma,15:28 on for a few minutes or so can change your life if you get it. I listened to Buddhadasa Bhikkhu talk about Atamayata for 10 years and didn’t experience it until I got this point spoken so plainly by Dhammarato,15:28,https://youtu.be/LhjojWs9r-w?t=928,2026-05-26
1ZFR63S4jMI,Have Fun Throwing Life Rafts | Ivan #11 | 05.27.24,@issac7787,27:20 the joy is up to me not the result of my action. 👀,27:20,https://youtu.be/1ZFR63S4jMI?t=1640,2026-05-26
-JnZaJ6exAQ,MN 54: Potaliyasutta & Staying in the First Jhana | Daniel #13 | 05.11.24,@MountainDharma,"For anyone who doubts Dhammarato’s interpretation 42:10 about the actual arising and passing of beings being a metaphor. The Buddha makes it clear in many places but here is one good example: 

""It would be better for the uninstructed run-of-the-mill person to hold to the body composed of the four great elements, rather than the mind, as the self. Why is that? Because this body composed of the four great elements is seen standing for a year, two years, three, four, five, ten, twenty, thirty, forty, fifty, a hundred years or more. But what's called 'mind,' 'intellect,' or 'consciousness' by day and by night arises as one thing and ceases as another. Just as a monkey, swinging through a forest wilderness, grabs a branch. Letting go of it, it grabs another branch. Letting go of that, it grabs another one. Letting go of that, it grabs another one. In the same way, what's called 'mind,' 'intellect,' or 'consciousness' by day and by night arises as one thing and ceases as another.

""The instructed disciple of the noble ones, [however,] attends carefully & appropriately right there at the dependent co-arising:

""'When this is, that is.

""'From the arising of this comes the arising of that.

""'When this isn't, that isn't.

""'From the cessation of this comes the cessation of that. (SN 12)

The same goes for the world:

[When this was said, the Blessed One responded:] ""I tell you, friend, that it is not possible by traveling to know or see or reach a far end of the cosmos where one does not take birth, age, die, pass away, or reappear. But at the same time, I tell you that there is no making an end of suffering & stress without reaching the end of the cosmos. Yet it is just within this fathom-long body, with its perception & intellect, that I declare that there is the cosmos, the origination of the cosmos, the cessation of the cosmos, and the path of practice leading to the cessation of the cosmos.""


It's not to be reached by traveling,
		the end of the cosmos —
		regardless.
And it's not without reaching
	the end of the cosmos
	that there is release
	from suffering & stress.

So, truly, the wise one,
an expert with regard to the cosmos,
a knower of the end of the cosmos,
having fulfilled the holy life,
	calmed,
knowing the cosmos' end,
	doesn't long for this cosmos
		or for any other. (AN 4.45)

“Mind” “self” “world” “beings” these are conventions of language, concepts, they all arise and pass away right here in experience. Dependent origination is APPARENT HERE AND NOW. It’s all in your head. If you want to be free, be free right now by following the summary of all Dhammas “nothing whatsoever should be clung to”. Why isn’t this enough? Because you are not satisfied. Why do you need more, more information, more experiences, more insights, more Jhanas and attainments? Because YOU ARE NOT SATISFIED. This is the answer to all your questions.",42:10,https://youtu.be/-JnZaJ6exAQ?t=2530,2026-05-26
